ExchangeSegment,ExchangeInstrumentID,Name,Description,InstrumentID,FreezeQty,TickSize,LotSize,Multiplier,displayName,ExpiryDate,OptionType,TickerName,ticker
NSEFO,9966797,INFY,INFY24NOV24DECFUT,2100109966797,12001,0.05,400,1,,2024-11-28 14:30:00,1,1,
NSEFO,9975996,LT,LT24NOV24DECFUT,2100109975996,6001,0.05,150,1,,2024-11-28 14:30:00,1,1,
NSEFO,9147897,ADANIPORTS,ADANIPORTS24NOV24DECFUT,2100109147897,16001,0.05,400,1,,2024-11-28 14:30:00,1,1,
NSEFO,9954360,HDFCBANK,HDFCBANK24NOV24DECFUT,2100109954360,16501,0.05,550,1,,2024-11-28 14:30:00,1,1,
NSEFO,35775,ASIANPAINT,ASIANPAINT24NOVFUT,2433300035775,8001,0.05,200,1,ASIANPAINT,2024-11-28 14:30:00,1,1,
NSEFO,38751,ICICIBANK,ICICIBANK24NOVFUT,2433300038751,21001,0.05,700,1,ICICIBANK,2024-11-28 14:30:00,1,1,
NSEFO,38741,HINDALCO,HINDALCO24NOVFUT,2433300038741,42001,0.05,1400,1,HINDALCO,2024-11-28 14:30:00,1,1,
NSEFO,40848,DRREDDY,DRREDDY25JANFUT,2503000040848,18751,0.05,625,1,DRREDDY,2025-01-30 14:30:00,1,1,
NSEFO,42523,TCS,TCS25JANFUT,2503000042523,5251,0.05,175,1,TCS,2025-01-30 14:30:00,1,1,
NSEFO,42496,SBILIFE,SBILIFE25JANFUT,2503000042496,15001,0.05,375,1,SBILIFE,2025-01-30 14:30:00,1,1,
NSEFO,38989,WIPRO,WIPRO24NOVFUT,2433300038989,45001,0.05,1500,1,WIPRO,2024-11-28 14:30:00,1,1,
NSEFO,38969,TCS,TCS24NOVFUT,2433300038969,5251,0.05,175,1,TCS,2024-11-28 14:30:00,1,1,
NSEFO,41115,LT,LT25JANFUT,2503000041115,6001,0.05,150,1,LT,2025-01-30 14:30:00,1,1,
NSEFO,35597,ADANIPORTS,ADANIPORTS24NOVFUT,2433300035597,16001,0.05,400,1,ADANIPORTS,2024-11-28 14:30:00,1,1,
NSEFO,38908,POWERGRID,POWERGRID24NOVFUT,2433300038908,72001,0.05,1800,1,POWERGRID,2024-11-28 14:30:00,1,1,
NSEFO,37264,BHARTIARTL,BHARTIARTL25JANFUT,2503000037264,14251,0.05,475,1,BHARTIARTL,2025-01-30 14:30:00,1,1,
NSEFO,40726,COALINDIA,COALINDIA25JANFUT,2503000040726,42001,0.05,1050,1,COALINDIA,2025-01-30 14:30:00,1,1,
NSEFO,38865,NESTLEIND,NESTLEIND24NOVFUT,2433300038865,8001,0.05,200,1,NESTLEIND,2024-11-28 14:30:00,1,1,
NSEFO,41282,NESTLEIND,NESTLEIND25JANFUT,2503000041282,8001,0.05,200,1,NESTLEIND,2025-01-30 14:30:00,1,1,
NSEFO,35855,BAJAJ-AUTO,BAJAJ-AUTO24NOVFUT,2433300035855,2251,0.05,75,1,BAJAJ-AUTO,2024-11-28 14:30:00,1,1,
NSEFO,38872,NTPC,NTPC24NOVFUT,2433300038872,60001,0.05,1500,1,NTPC,2024-11-28 14:30:00,1,1,
NSEFO,35854,AXISBANK,AXISBANK24NOVFUT,2433300035854,18751,0.05,625,1,AXISBANK,2024-11-28 14:30:00,1,1,
NSEFO,38792,JSWSTEEL,JSWSTEEL24NOVFUT,2433300038792,27001,0.05,675,1,JSWSTEEL,2024-11-28 14:30:00,1,1,
NSEFO,35414,ASIANPAINT,ASIANPAINT25JANFUT,2503000035414,8001,0.05,200,1,ASIANPAINT,2025-01-30 14:30:00,1,1,
NSEFO,38750,HINDUNILVR,HINDUNILVR24NOVFUT,2433300038750,9001,0.05,300,1,HINDUNILVR,2024-11-28 14:30:00,1,1,
NSEFO,38914,RELIANCE,RELIANCE24NOVFUT,2433300038914,15001,0.05,500,1,RELIANCE,2024-11-28 14:30:00,1,1,
NSEFO,40838,DIVISLAB,DIVISLAB25JANFUT,2503000040838,4001,0.05,100,1,DIVISLAB,2025-01-30 14:30:00,1,1,
NSEFO,38975,TITAN,TITAN24NOVFUT,2433300038975,7001,0.05,175,1,TITAN,2024-11-28 14:30:00,1,1,
NSEFO,35894,BAJAJFINSV,BAJAJFINSV25JANFUT,2503000035894,15001,0.05,500,1,BAJAJFINSV,2025-01-30 14:30:00,1,1,
NSEFO,38689,DIVISLAB,DIVISLAB24NOVFUT,2433300038689,4001,0.05,100,1,DIVISLAB,2024-11-28 14:30:00,1,1,
NSEFO,35200,ADANIPORTS,ADANIPORTS25JANFUT,2503000035200,16001,0.05,400,1,ADANIPORTS,2025-01-30 14:30:00,1,1,
